event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 16th,2026-03-16,1,1,Please Not Hero Ban,Telomere,Please Not Hero Ban,Telomere,Oasis,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 16th,2026-03-16,1,2,Please Not Hero Ban,Telomere,Please Not Hero Ban,Telomere,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 16th,2026-03-16,1,3,Please Not Hero Ban,Telomere,Telomere,Please Not Hero Ban,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 16th,2026-03-16,1,4,Please Not Hero Ban,Telomere,Please Not Hero Ban,Telomere,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 16th,2026-03-16,2,1,Enter Force.36,Nyam Gaming,Enter Force.36,Nyam Gaming,Oasis,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 16th,2026-03-16,2,2,Enter Force.36,Nyam Gaming,Enter Force.36,Nyam Gaming,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 16th,2026-03-16,2,3,Enter Force.36,Nyam Gaming,Enter Force.36,Nyam Gaming,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 16th,2026-03-16,3,1,Tokyo Ta1yo's,VARREL,VARREL,Tokyo Ta1yo's,Busan,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 16th,2026-03-16,3,2,Tokyo Ta1yo's,VARREL,VARREL,Tokyo Ta1yo's,Runasapi,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 16th,2026-03-16,3,3,Tokyo Ta1yo's,VARREL,VARREL,Tokyo Ta1yo's,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 17th,2026-03-17,4,1,Lazuli,99DIVINE,99DIVINE,Lazuli,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 17th,2026-03-17,4,2,Lazuli,99DIVINE,99DIVINE,Lazuli,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 17th,2026-03-17,4,3,Lazuli,99DIVINE,99DIVINE,Lazuli,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 17th,2026-03-17,5,1,Please Not Hero Ban,VARREL,VARREL,Please Not Hero Ban,Busan,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 17th,2026-03-17,5,2,Please Not Hero Ban,VARREL,VARREL,Please Not Hero Ban,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 17th,2026-03-17,5,3,Please Not Hero Ban,VARREL,VARREL,Please Not Hero Ban,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 17th,2026-03-17,6,1,Tokyo Ta1yo's,Nyam Gaming,Nyam Gaming,Tokyo Ta1yo's,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 17th,2026-03-17,6,2,Tokyo Ta1yo's,Nyam Gaming,Nyam Gaming,Tokyo Ta1yo's,Havana,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 17th,2026-03-17,6,3,Tokyo Ta1yo's,Nyam Gaming,Tokyo Ta1yo's,Nyam Gaming,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 1,March 17th,2026-03-17,6,4,Tokyo Ta1yo's,Nyam Gaming,Nyam Gaming,Tokyo Ta1yo's,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,7,1,Please Not Hero Ban,Lazuli,Please Not Hero Ban,Lazuli,Busan,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,7,2,Please Not Hero Ban,Lazuli,Please Not Hero Ban,Lazuli,Runasapi,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,7,3,Please Not Hero Ban,Lazuli,Please Not Hero Ban,Lazuli,Rialto,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,8,1,Tokyo Ta1yo's,99DIVINE,99DIVINE,Tokyo Ta1yo's,Oasis,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,8,2,Tokyo Ta1yo's,99DIVINE,99DIVINE,Tokyo Ta1yo's,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,8,3,Tokyo Ta1yo's,99DIVINE,Tokyo Ta1yo's,99DIVINE,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,8,4,Tokyo Ta1yo's,99DIVINE,99DIVINE,Tokyo Ta1yo's,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,9,1,VARREL,Enter Force.36,VARREL,Enter Force.36,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,9,2,VARREL,Enter Force.36,Enter Force.36,VARREL,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,9,3,VARREL,Enter Force.36,VARREL,Enter Force.36,Rialto,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
owcs_2026_asia_s1_japan,japan,2026,Stage 1,Week 2,March 23rd,2026-03-23,9,4,VARREL,Enter Force.36,VARREL,Enter Force.36,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2026/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
